time_period,region,roadmap_group,roadmap_invoice_qty,roadmap_invoice_qty_pct_change,h.01,h.02,h.03,h.04,h.05,h.06,h.07,h.08,h.09,h.10,h.11,h.12
2018-06-01,EMEA,C Series-19.5,1750.0,2768.8524590163934,,,,,,,,,,,,
2018-07-01,EMEA,C Series-19.5,1009.0,-42.342857142857135,,,,,,,,,,,,
2018-08-01,EMEA,C Series-19.5,1120.0,11.000991080277501,,,,,,,,,,,,
2018-09-01,EMEA,C Series-19.5,1905.0,70.08928571428572,1971949.638522919,1973827.2074609231,1974765.991929925,1975235.384164426,1975470.0802816765,1975587.4283403018,1975646.1023696144,1975675.4393842707,1975690.1078915987,1975697.4421452628,1975701.109272095,1975702.9428355107
2018-10-01,EMEA,C Series-19.5,784.0,-58.84514435695538,1443746.9336205933,1442893.0675188205,1442549.3627792285,1442411.012108353,1442355.3221340033,1442332.9053779193,1442323.882013136,1442320.2498590588,1442318.7878165105,1442318.199303918,1442317.9624113105,1442317.867055479
2018-11-01,EMEA,C Series-19.5,1288.0,64.28571428571428,1129381.4623897648,1129154.448884148,1129070.7666954442,1129039.9195936949,1129028.5486711476,1129024.357098123,1129022.8119917917,1129022.2424314953,1129022.0324789989,1129021.9550858748,1129021.926557061,1129021.9160407106
2018-12-01,EMEA,C Series-19.5,2296.0,78.26086956521738,954847.130457386,954783.758304818,954761.3114475114,954753.3606144954,954750.5443741288,954749.546842199,954749.19350945,954749.0683565321,954749.024026498,954749.0083244914,954749.0027627314,954749.0007927173
2019-01-01,EMEA,C Series-19.5,966.0,-57.92682926829269,811427.9709235732,811409.7559008771,811403.4427121466,811401.2546088095,811400.4962287865,811400.2333800218,811400.1422786333,811400.1107035829,811400.0997599099,811400.0959669158,811400.0946522929,811400.0941966546
2019-02-01,EMEA,C Series-19.5,224.0,-76.81159420289855,502606.0621880628,966381.517400859,1430156.9719333493,1893932.4257855334,2357707.878957411,2821483.331448982,3285258.783260248,3749034.234391208,4212809.684841862,4676585.134612208,5140360.583702251,5604136.032111986
2019-03-01,EMEA,C Series-19.5,1344.0,500.0,578875.9043408497,996809.7427728171,1414743.5812037238,1832677.4196335697,2250611.2580623543,2668545.096490078,3086478.934916741,3504412.7733423435,3922346.611766885,4340280.450190365,4758214.288612784,5176148.127034144
2019-04-01,EMEA,C Series-19.5,504.0,-62.5,399305.17909949436,779974.5996830971,1160644.0202666998,1541313.4408503026,1921982.8614339055,2302652.2820175085,2683321.702601111,3063991.123184714,3444660.5437683165,3825329.9643519195,4205999.384935522,4586668.805519125
2019-05-01,EMEA,C Series-19.5,672.0,33.33333333333333,368348.28305584943,368341.73429700435,368338.85828299,368337.595225851,368337.0405298974,368336.7969244488,368336.6899404079,368336.64295629866,368336.622322319,368336.61326050805,368336.60928083863,368336.6075330899
2019-06-01,EMEA,C Series-19.5,560.0,-16.666666666666664,202248.7219552948,393779.2951692492,585309.8683832035,776840.4415971579,968371.0148111121,1159901.5880250665,1351432.1612390212,1542962.7344529754,1734493.3076669301,1926023.8808808844,2117554.4540948384,2309085.027308793
2019-07-01,EMEA,C Series-19.5,280.0,-50.0,192847.7044907338,369931.4216541737,547015.1388176136,724098.8559810533,901182.5731444932,1078266.290307933,1255350.0074713728,1432433.7246348127,1609517.4417982525,1786601.1589616921,1963684.8761251322,2140768.5932885725
2019-08-01,EMEA,C Series-19.5,0.0,-100.0,193441.5918753834,358641.2190721502,523840.84626891697,689040.4734656838,854240.1006624505,1019439.7278592173,1184639.355055984,1349838.9822527508,1515038.6094495177,1680238.2366462843,1845437.863843051,2010637.491039818
2019-09-01,EMEA,C Series-19.5,952.0,2735.51912568306,7322042.042866848,7477196.61134534,7632351.17981756,7787505.74828351,7942660.316743192,8097814.885196604,8252969.453643744,8408124.022084614,8563278.590519216,8718433.158947546,8873587.727369606,9028742.295785395
2019-10-01,EMEA,C Series-19.5,186.0,-80.46218487394958,163181.07651182375,309972.95873133204,456764.8409503085,603556.723168753,750348.6053866656,897140.4876040464,1043932.3698208953,1190724.252037212,1337516.1342529973,1484308.016468251,1631099.8986829724,1777891.780897162
2019-11-01,EMEA,C Series-19.5,0.0,0.0,510334.73594275117,927441.7467783723,1344548.7576138112,1761655.7684490678,2178762.779284142,2595869.790119034,3012976.8009537444,3430083.811788272,3847190.8226226177,4264297.833456781,4681404.844290762,5098511.855124562
2019-12-01,EMEA,C Series-19.5,56.0,-69.89247311827957,673663.0260131888,673663.0241114647,673663.0233332708,673663.0230148304,673663.0228845233,673663.0228312011,673663.0228093814,673663.0228004525,673663.022796799,673663.0227953038,673663.0227946921,673663.0227944417
2020-01-01,EMEA,C Series-19.5,0.0,-100.0,639323.856447938,639323.855699627,639323.8553947516,639323.85527054,639323.8552199339,639323.855199316,639323.855190916,639323.8551874937,639323.8551860994,639323.8551855313,639323.8551852999,639323.8551852056
2020-02-01,EMEA,C Series-19.5,0.0,0.0,610442.8792017259,610442.8789236918,610442.8788108334,610442.8787650224,610442.878746427,610442.8787388789,610442.878735815,610442.8787345712,610442.8787340664,610442.8787338615,610442.8787337783,610442.8787337445
2020-03-01,EMEA,C Series-19.5,168.0,2735.51912568306,584940.7823209583,584940.7821161845,584940.782033331,584940.7819998076,584940.7819862437,584940.7819807556,584940.781978535,584940.7819776366,584940.781977273,584940.781977126,584940.7819770665,584940.7819770424
2020-04-01,EMEA,C Series-19.5,75.0,-55.35714285714286,558788.1157825913,558788.1157356093,558788.1157166613,558788.1157090196,558788.1157059376,558788.1157046946,558788.1157041934,558788.1157039911,558788.1157039097,558788.1157038768,558788.1157038636,558788.1157038582
