time_period,region,roadmap_group,roadmap_invoice_qty,roadmap_invoice_qty_pct_change,h.01,h.02,h.03,h.04,h.05,h.06,h.07,h.08,h.09,h.10,h.11,h.12
2017-05-01,PA,C Series-21.5-Mainstream,0.0,-100.0,,,,,,,,,,,,
2017-06-01,PA,C Series-21.5-Mainstream,0.0,0.0,,,,,,,,,,,,
2017-07-01,PA,C Series-21.5-Mainstream,300.0,366.6666666666667,,,,,,,,,,,,
2017-08-01,PA,C Series-21.5-Mainstream,1400.0,366.6666666666667,5049.555555555556,3774.7777777777774,3137.3888888888887,2818.6944444444443,2659.347222222222,2579.6736111111113,2539.8368055555557,2519.918402777778,2509.9592013888887,2504.9796006944443,2502.489800347222,2501.244900173611
2017-09-01,PA,C Series-21.5-Mainstream,100.0,-92.85714285714286,44806.50999786536,44877.15229862933,44916.17917224999,44937.739863905445,44949.65123116432,44956.231756142035,44959.867216962055,44961.875654802294,44962.98523148536,44963.5982255203,44963.93687871354,44964.1239702328
2017-10-01,PA,C Series-21.5-Mainstream,0.0,-100.0,42238.05392749297,42230.28146591165,42226.618838825576,42224.892894344375,42224.07957530256,42223.69631392249,42223.51570916851,42223.43060255758,42223.390497659646,42223.37159897692,42223.3626933263,42223.358496705085
2017-11-01,PA,C Series-21.5-Mainstream,0.0,0.0,47851.14607305368,47858.13484692949,47861.77875035982,47863.678659048455,47864.6692596761,47865.1857527104,47865.4550489808,47865.59545838893,47865.66866698503,47865.706837493795,47865.72673936075,47865.73711607096
2017-12-01,PA,C Series-21.5-Mainstream,0.0,0.0,46535.10120918923,46539.11505811913,46541.22321615434,46542.33046517617,46542.91201569367,46543.21745827952,46543.377883161695,46543.46214169018,46543.50639604479,46543.52963936432,46543.54184724551,46543.54825908195
2018-01-01,PA,C Series-21.5-Mainstream,0.0,0.0,39481.17272124577,39481.35133746131,39481.442770729656,39481.48957522909,39481.51353435477,39481.52579898125,39481.532077217984,39481.53529103428,39481.53693618013,39481.53777832686,39481.53820942002,39481.53843009571
2018-02-01,PA,C Series-21.5-Mainstream,0.0,0.0,25756.518925567005,28827.09419779441,30227.686443844857,30866.54348716158,31157.947586353406,31290.86675804312,31351.495645048068,31379.150511481028,31391.76482250017,31397.518632335898,31400.14313775482,31401.34026259742
2018-03-01,PA,C Series-21.5-Mainstream,305.0,366.6666666666667,42127.06188404639,33669.80196540225,29988.13813840295,28385.414719065462,27687.707791003417,27383.977932443668,27251.75647487986,27194.197057036665,27169.139954781916,27158.23195055027,27153.48341438244,27151.416253859
2018-04-01,PA,C Series-21.5-Mainstream,400.0,31.147540983606547,22195.072448205407,23612.470741797446,24232.36738045935,24503.478079803062,24622.047865013217,24673.904151020422,24696.58340605741,24706.502138165626,24710.840078123274,24712.737268497083,24713.56700135407,24713.929883552642
2018-05-01,PA,C Series-21.5-Mainstream,1700.0,325.0,33869.000184808974,33849.614013927145,33839.93648332269,33835.10548295798,33832.69385901406,33831.48998205115,33830.88900952163,33830.58900545778,33830.439244139416,33830.364483643876,33830.3271633815,33830.30853319489
2018-06-01,PA,C Series-21.5-Mainstream,0.0,-100.0,30947.88361153783,30947.85789269617,30947.845136845644,30947.838810288453,30947.835672487032,30947.834116222315,30947.833344357066,30947.832961532757,30947.832771662244,30947.8326774916,30947.832630785502,30947.83260762054
2018-07-01,PA,C Series-21.5-Mainstream,200.0,366.6666666666667,33162.536018902356,33162.52740762387,33162.52313536678,33162.52101579991,33162.519964233106,33162.51944252617,33162.51918369513,33162.51905528299,33162.51899157471,33162.518959967536,33162.51894428648,33162.51893650674
2018-08-01,PA,C Series-21.5-Mainstream,0.0,-100.0,33318.30665360777,33318.303300860054,33318.30162929684,33318.300795913645,33318.300380417815,33318.30017326607,33318.300069987425,33318.30001849629,33318.2999928246,33318.29998002559,33318.299973644454,33318.29997046304
2018-09-01,PA,C Series-21.5-Mainstream,650.0,366.6666666666667,36404.53462539277,36404.53473069737,36404.53478329096,36404.534809558434,36404.534822677524,36404.53482922976,36404.53483250222,36404.534834136626,36404.53483495292,36404.53483536061,36404.53483556423,36404.53483566592
2018-10-01,PA,C Series-21.5-Mainstream,0.0,-100.0,36492.53133584229,36492.531676659986,36492.53184748742,36492.53193311095,36492.53197602788,36492.53199753905,36492.53200832105,36492.5320137253,36492.53201643406,36492.53201779177,36492.53201847229,36492.532018813385
2018-11-01,PA,C Series-21.5-Mainstream,700.0,366.6666666666667,42291.35529237718,40731.79476328533,39943.53993659383,39545.12919189239,39343.75887848779,39241.979487093486,39190.53672804199,39164.53581152464,39151.394065782246,39144.75178142113,39141.39454544969,39139.69768443695
2018-12-01,PA,C Series-21.5-Mainstream,0.0,-100.0,39152.87686650331,39013.354567634,38943.206204432674,38907.93734132117,38890.20502871385,38881.28966023685,38876.80723333401,38874.55357988254,38873.420498632266,38872.85081338679,38872.56438972667,38872.420382990094
2019-01-01,PA,C Series-21.5-Mainstream,0.0,0.0,37791.31877277926,39446.42377976571,40287.70713709428,40715.32815469163,40932.6862339857,41043.16848974538,41099.3261852743,41127.87092076539,41142.38009740774,41149.755054758614,41153.50371653784,41155.40914655817
2019-02-01,PA,C Series-21.5-Mainstream,0.0,0.0,37576.591712201756,39172.68841540928,39978.259366003025,40384.841595724065,40590.048982364664,40693.61984319831,40745.89341575057,40772.27657376803,40785.59249982757,40792.313222445606,40795.70525934237,40797.41726487555
2019-03-01,PA,C Series-21.5-Mainstream,0.0,0.0,38559.52106938473,38794.87956457317,38913.0059799007,38972.29362102434,39002.05008472689,39016.98485216408,39024.480611090024,39028.24273206794,39030.130940372444,39031.07863201291,39031.554278393276,39031.79300528449
2019-04-01,PA,C Series-21.5-Mainstream,0.0,0.0,34950.02152208089,36130.07085591879,36717.601434955875,37010.12495190154,37155.76844863068,37228.282372847694,37264.38607348275,37282.36161698863,37291.31139661366,37295.76737066031,37297.98593978003,37299.09053529326
2019-05-01,PA,C Series-21.5-Mainstream,300.0,366.6666666666667,38645.02057006859,37121.113146079544,36369.616620684006,35999.02519315275,35816.27251031451,35726.150233857494,35681.707522606106,35659.791136768734,35648.98333601474,35643.65359971584,35641.02530468503,35639.72919276098
2019-06-01,PA,C Series-21.5-Mainstream,0.0,-100.0,36056.3797973098,35243.16897105655,34841.687434628424,34643.47632025438,34545.61965115092,34497.30789165011,34473.45641451066,34461.68095926722,34455.86742640384,34452.99728986518,34451.58030574483,34450.88074181458
2019-07-01,PA,C Series-21.5-Mainstream,42.0,366.6666666666667,40265.67481961005,38453.3871075177,37548.49730905118,37096.67857083139,36871.081848940536,36758.43959526061,36702.19641403109,36674.113742285146,36660.0918389157,36653.090590035936,36649.594810284434,36647.849339400476
2019-08-01,PA,C Series-21.5-Mainstream,0.0,0.0,36297.409053092764,36441.41595434742,36513.37218628795,36549.326708397435,36567.292180258024,36576.26902545682,36580.75450462199,36582.99577345259,36584.11567297415,36584.675255529015,36584.9548633239,36585.094575540235
2019-09-01,PA,C Series-21.5-Mainstream,0.0,0.0,33364.05493725719,35862.39378102396,37119.63790646764,37752.32341864558,38070.71103264904,38230.93387764806,38311.56314502685,38352.13837484554,38372.55713007379,38382.83250169667,38388.003397807035,38390.60555834833
2019-10-01,PA,C Series-21.5-Mainstream,0.0,0.0,36431.76110571654,36749.93785223579,36908.98658517291,36988.491136418845,37028.233506899196,37048.0997408021,37058.03038270178,37062.994466434095,37065.47588984563,37066.716292401135,37067.336339142275,37067.64628526379
2019-11-01,PA,C Series-21.5-Mainstream,0.0,0.0,35677.91476458917,35853.59534611054,35941.35170245048,35985.187953511195,36007.085135518326,36018.0232647664,36023.48710351098,36026.21641244029,36027.57976293065,36028.26078681167,36028.6009733813,36028.77090413612
2019-12-01,PA,C Series-21.5-Mainstream,0.0,0.0,31344.112463244284,33022.75979689188,33851.40793551694,34260.46213283587,34462.387809784675,34562.06648140932,34611.27190058625,34635.56168331425,34647.552101338166,34653.47105606897,34656.39289124065,34657.83522711898
