,time_period,region,roadmap_group,roadmap_invoice_qty,roadmap_t1ci_qty,roadmap_t2ci_qty,first_month,mon_phase_in,roadmap_accu_invoice_qty,roadmap_invoice_qty_pct_change,rolling_q_roadmap_invoice_qty
0,2019-05-01,AAP,A1-21.5-KAB,2.0,0.0,0.0,2019-05-01,0.0,2.0,,
1,2019-06-01,AAP,A1-21.5-KAB,0.0,0.0,0.0,2019-05-01,1.0,2.0,-1.0,
2,2019-07-01,AAP,A1-21.5-KAB,1008.0,0.0,0.0,2019-05-01,2.0,1010.0,inf,1010.0
3,2019-08-01,AAP,A1-21.5-KAB,2016.0,0.0,0.0,2019-05-01,3.0,3026.0,1.0,3024.0
4,2019-09-01,AAP,A1-21.5-KAB,2016.0,1000.0,0.0,2019-05-01,4.0,5042.0,0.0,5040.0
5,2019-10-01,AAP,A1-21.5-KAB,0.0,939.0,0.0,2019-05-01,5.0,5042.0,-1.0,4032.0
6,2019-11-01,AAP,A1-21.5-KAB,0.0,912.0,0.0,2019-05-01,6.0,5042.0,,2016.0
7,2019-12-01,AAP,A1-21.5-KAB,4173.0,0.0,0.0,2019-05-01,7.0,9215.0,inf,4173.0
8,2018-07-01,AAP,C Series-19.5,3.0,0.0,0.0,2018-07-01,0.0,3.0,,
9,2018-08-01,AAP,C Series-19.5,2532.0,0.0,0.0,2018-07-01,1.0,2535.0,843.0,
10,2018-09-01,AAP,C Series-19.5,1272.0,278.6666666666667,40.666666666666664,2018-07-01,2.0,3807.0,-0.49763033175355453,3807.0
11,2018-10-01,AAP,C Series-19.5,680.0,428.7142857142857,79.92857142857143,2018-07-01,3.0,4487.0,-0.46540880503144655,4484.0
12,2018-11-01,AAP,C Series-19.5,478.0,247.68333333333334,175.68333333333334,2018-07-01,4.0,4965.0,-0.2970588235294118,2430.0
13,2018-12-01,AAP,C Series-19.5,1897.0,388.3125,377.3125,2018-07-01,5.0,6862.0,2.9686192468619246,3055.0
14,2019-01-01,AAP,C Series-19.5,2546.0,376.9909090909091,563.3181818181818,2018-07-01,6.0,9408.0,0.34211913547706896,4921.0
15,2019-02-01,AAP,C Series-19.5,5775.0,371.2333333333333,401.5666666666667,2018-07-01,7.0,15183.0,1.2682639434406915,10218.0
16,2019-03-01,AAP,C Series-19.5,1105.0,241.16666666666669,530.0333333333333,2018-07-01,8.0,16288.0,-0.8086580086580086,9426.0
17,2019-04-01,AAP,C Series-19.5,1953.0,33.166666666666664,341.875,2018-07-01,9.0,18241.0,0.767420814479638,8833.0
18,2019-05-01,AAP,C Series-19.5,1106.0,40.791666666666664,321.2083333333333,2018-07-01,10.0,19347.0,-0.4336917562724014,4164.0
19,2019-06-01,AAP,C Series-19.5,1546.0,49.857142857142854,323.32142857142856,2018-07-01,11.0,20893.0,0.39783001808318263,4605.0
20,2019-07-01,AAP,C Series-19.5,3096.0,26.35,333.4,2018-07-01,12.0,23989.0,1.0025873221216042,5748.0
21,2019-08-01,AAP,C Series-19.5,2512.0,35.1,341.73333333333335,2018-07-01,13.0,26501.0,-0.18863049095607232,7154.0
22,2019-09-01,AAP,C Series-19.5,2036.0,103.08695652173913,362.6521739130435,2018-07-01,14.0,28537.0,-0.18949044585987262,7644.0
23,2019-10-01,AAP,C Series-19.5,2700.0,388.7083333333333,366.2916666666667,2018-07-01,15.0,31237.0,0.32612966601178783,7248.0
24,2019-11-01,AAP,C Series-19.5,2010.0,440.37931034482756,344.51724137931035,2018-07-01,16.0,33247.0,-0.25555555555555554,6746.0
25,2019-12-01,AAP,C Series-19.5,1008.0,433.625,357.2916666666667,2018-07-01,17.0,34255.0,-0.4985074626865672,5718.0
26,2020-01-01,AAP,C Series-19.5,1218.0,633.4,700.1333333333333,2018-07-01,18.0,35473.0,0.20833333333333326,4236.0
27,2020-02-01,AAP,C Series-19.5,794.0,853.2631578947369,783.3684210526316,2018-07-01,19.0,36267.0,-0.34811165845648606,3020.0
28,2020-03-01,AAP,C Series-19.5,1008.0,739.4,392.7,2018-07-01,20.0,37275.0,0.2695214105793451,3020.0
29,2020-04-01,AAP,C Series-19.5,0.0,613.6875,268.9375,2018-07-01,21.0,37275.0,-1.0,1802.0
30,2020-05-01,AAP,C Series-19.5,1108.0,484.2307692307692,247.84615384615384,2018-07-01,22.0,38383.0,inf,2116.0
31,2020-06-01,AAP,C Series-19.5,0.0,285.5,448.1875,2018-07-01,23.0,38383.0,-1.0,1108.0
32,2020-07-01,AAP,C Series-19.5,0.0,34.95238095238095,369.76190476190476,2018-07-01,24.0,38383.0,,1108.0
33,2020-08-01,AAP,C Series-19.5,600.0,5.68,351.8,2018-07-01,25.0,38983.0,inf,600.0
34,2020-09-01,AAP,C Series-19.5,0.0,10.047619047619047,213.57142857142858,2018-07-01,26.0,38983.0,-1.0,600.0
35,2020-10-01,AAP,C Series-19.5,1200.0,53.24242424242424,329.06060606060606,2018-07-01,27.0,40183.0,inf,1800.0
36,2020-11-01,AAP,C Series-19.5,300.0,195.91666666666666,124.41666666666667,2018-07-01,28.0,40483.0,-0.75,1500.0
37,2020-12-01,AAP,C Series-19.5,3414.0,48.30769230769231,118.53846153846153,2018-07-01,29.0,43897.0,10.38,4914.0
38,2018-03-01,AAP,C Series-21.5,50.0,0.0,0.0,2018-03-01,0.0,50.0,,
39,2018-04-01,AAP,C Series-21.5,2850.0,0.0,0.0,2018-03-01,1.0,2900.0,56.0,
40,2018-05-01,AAP,C Series-21.5,1485.0,152.33333333333334,98.66666666666667,2018-03-01,2.0,4385.0,-0.4789473684210527,4385.0
41,2018-06-01,AAP,C Series-21.5,1181.0,357.8,221.26666666666668,2018-03-01,3.0,5566.0,-0.20471380471380474,5516.0
42,2018-07-01,AAP,C Series-21.5,1330.0,584.4166666666666,396.25,2018-03-01,4.0,6896.0,0.126164267569856,3996.0
43,2018-08-01,AAP,C Series-21.5,2520.0,486.25,462.0833333333333,2018-03-01,5.0,9416.0,0.894736842105263,5031.0
44,2018-09-01,AAP,C Series-21.5,0.0,489.06666666666666,449.46666666666664,2018-03-01,6.0,9416.0,-1.0,3850.0
45,2018-10-01,AAP,C Series-21.5,570.0,599.4166666666666,495.25,2018-03-01,7.0,9986.0,inf,3090.0
46,2018-11-01,AAP,C Series-21.5,70.0,555.25,551.25,2018-03-01,8.0,10056.0,-0.8771929824561404,640.0
47,2018-12-01,AAP,C Series-21.5,200.0,542.3125,673.8125,2018-03-01,9.0,10256.0,1.8571428571428572,840.0
48,2019-01-01,AAP,C Series-21.5,490.0,456.25,563.5,2018-03-01,10.0,10746.0,1.4500000000000002,760.0
49,2019-02-01,AAP,C Series-21.5,401.0,278.3333333333333,495.5,2018-03-01,11.0,11147.0,-0.18163265306122445,1091.0
50,2019-03-01,AAP,C Series-21.5,965.0,157.26666666666668,519.6666666666666,2018-03-01,12.0,12112.0,1.4064837905236907,1856.0
51,2019-04-01,AAP,C Series-21.5,708.0,147.0,556.5833333333334,2018-03-01,13.0,12820.0,-0.2663212435233161,2074.0
52,2019-05-01,AAP,C Series-21.5,106.0,390.4166666666667,465.8333333333333,2018-03-01,14.0,12926.0,-0.8502824858757062,1779.0
53,2019-06-01,AAP,C Series-21.5,1151.0,262.98333333333335,358.15,2018-03-01,15.0,14077.0,9.858490566037736,1965.0
54,2019-07-01,AAP,C Series-21.5,2090.0,255.94642857142856,231.83928571428572,2018-03-01,16.0,16167.0,0.8158123370981756,3347.0
55,2019-08-01,AAP,C Series-21.5,140.0,452.31372549019613,264.4150326797386,2018-03-01,17.0,16307.0,-0.9330143540669856,3381.0
56,2019-09-01,AAP,C Series-21.5,95.0,547.534188034188,291.02136752136755,2018-03-01,18.0,16402.0,-0.3214285714285714,2325.0
57,2019-10-01,AAP,C Series-21.5,795.0,509.9875,237.325,2018-03-01,19.0,17197.0,7.368421052631579,1030.0
58,2019-11-01,AAP,C Series-21.5,340.0,476.665991902834,215.66599190283404,2018-03-01,20.0,17537.0,-0.5723270440251572,1230.0
59,2019-12-01,AAP,C Series-21.5,260.0,270.67676767676767,205.75252525252526,2018-03-01,21.0,17797.0,-0.23529411764705888,1395.0
60,2020-01-01,AAP,C Series-21.5,1028.0,307.2791666666667,183.2125,2018-03-01,22.0,18825.0,2.953846153846154,1628.0
