time_period,region,roadmap_group,roadmap_invoice_qty,roadmap_invoice_qty_pct_change,roadmap_invoice_qty_pct_change_roll_mean,roadmap_invoice_qty_pct_change_realised_volatility,roadmap_invoice_qty_pct_change_ngtv_realised_volatility,h.01,h.02,h.03,h.04,h.05,h.06,h.07,h.08,h.09,h.10,h.11,h.12
2019-06-01,AAP,A1-21.5-KAB,0.0,-100.0,-100.0,0.0,-0.0,,,,,,,,,,,,
2019-07-01,AAP,A1-21.5-KAB,1008.0,100.0,0.0,100.0,-100.0,,,,,,,,,,,,
2019-08-01,AAP,A1-21.5-KAB,2016.0,100.0,33.333333333333336,66.66666666666666,-66.66666666666666,,,,,,,,,,,,
2019-09-01,AAP,A1-21.5-KAB,2016.0,0.0,25.0,25.0,-25.0,9900.0,9950.0,9975.0,9987.5,9993.75,9996.875,9998.4375,9999.21875,9999.609375,9999.8046875,9999.90234375,9999.951171875
2019-10-01,AAP,A1-21.5-KAB,0.0,-100.0,0.0,100.0,-100.0,7378.87576503333,7374.554544670099,7372.838598381379,7372.157200207191,7371.8866186191535,7371.779171316596,7371.736504249297,7371.719561258745,7371.712833237651,7371.710161556538,7371.709100638347,7371.708679350267
2019-11-01,AAP,A1-21.5-KAB,0.0,0.0,0.0,0.0,-0.0,5725.725598764797,5724.249749634895,5723.660313440891,5723.42489979341,5723.3308784455785,5723.293327462692,5723.278330056802,5723.27234027528,5723.269948029384,5723.268992595466,5723.268611006779,5723.268458604898
2019-12-01,AAP,A1-21.5-KAB,4173.0,100.0,14.285714285714286,85.71428571428571,-85.71428571428571,7618.915823081859,7618.2235580289835,7617.894801315673,7617.738674733668,7617.664530210921,7617.629318972817,7617.612597153821,7617.604655961021,7617.600884688105,7617.599093710381,7617.598243174956,7617.597839255635
2018-08-01,AAP,C Series-19.5,2532.0,84300.0,84300.0,0.0,-0.0,,,,,,,,,,,,
2018-09-01,AAP,C Series-19.5,1272.0,-49.76303317535545,42125.11848341232,42174.88151658767,-42174.88151658767,,,,,,,,,,,,
2018-10-01,AAP,C Series-19.5,680.0,-46.540880503144656,28067.8986954405,28114.439575943645,-28114.439575943645,,,,,,,,,,,,
