time_period,region,roadmap_group,roadmap_invoice_qty,roadmap_invoice_qty_pct_change,roadmap_invoice_qty_pct_change_roll_mean,roadmap_invoice_qty_pct_change_realised_volatility,roadmap_invoice_qty_pct_change_ngtv_realised_volatility,h.01,h.02,h.03,h.04,h.05,h.06,h.07,h.08,h.09,h.10,h.11,h.12
2018-12-01,CHINA,A1-19.5-KAB,15.0,25.0,25.0,0.0,-0.0,,,,,,,,,,,,
2019-01-01,CHINA,A1-19.5-KAB,56.0,273.3333333333333,149.16666666666666,124.16666666666666,-124.16666666666666,,,,,,,,,,,,
2019-02-01,CHINA,A1-19.5-KAB,0.0,-100.0,66.1111111111111,166.1111111111111,-166.1111111111111,,,,,,,,,,,,
2019-03-01,CHINA,A1-19.5-KAB,0.0,0.0,49.58333333333333,49.58333333333333,-49.58333333333333,15714.36111111111,15565.86111111111,15491.61111111111,15454.48611111111,15435.92361111111,15426.64236111111,15422.00173611111,15419.68142361111,15418.52126736111,15417.94118923611,15417.65115017361,15417.50613064236
2019-04-01,CHINA,A1-19.5-KAB,42.0,876.0357195139802,214.8738105694627,661.1619089445176,-661.1619089445176,28548.152632734622,28632.497562148317,28681.527596843178,28710.02894622944,28726.596891202214,28736.2279018923,28741.826445771156,28745.080901048183,28746.972728526784,28748.072455179677,28748.71173054953,28749.083343802176
2019-05-01,CHINA,A1-19.5-KAB,336.0,700.0,295.72817547455224,404.27182452544776,-404.27182452544776,19569.926917323217,19572.636265530076,19574.039383069485,19574.766029731,19575.14234558185,19575.337232074977,19575.438159912897,19575.490428432407,19575.517497258887,19575.53151566564,19575.538775519628,19575.54253525359
2019-06-01,CHINA,A1-19.5-KAB,57.0,-83.03571428571428,241.61904836594275,324.65476265165705,-324.65476265165705,181753.51390791684,184689.43287775188,187070.01212759662,189000.29617937675,190565.46000276122,191834.56741302673,192863.61855433666,193698.02094050642,194374.593089447,194923.18916288746,195368.01629960234,195728.70277028202
2019-07-01,CHINA,A1-19.5-KAB,467.0,719.2982456140351,301.32894802195426,417.9692975920808,-417.9692975920808,168485.05919636064,169376.51821752364,170056.279382964,170574.61531436554,170969.8602201375,171271.24495168845,171501.0588090857,171676.29797525046,171809.9224907863,171911.81473064894,171989.51026804783,172048.7551775703
2019-08-01,CHINA,A1-19.5-KAB,1400.0,199.78586723768737,290.04638349036907,90.2605162526817,-90.2605162526817,165666.37413356942,166316.7410944152,166811.3389226099,167187.47582128755,167473.52432065769,167691.06145748094,167856.49636100765,167982.30801645445,168077.98657224188,168150.749195109,168206.08447105388,168248.16641702066
2019-09-01,CHINA,A1-19.5-KAB,498.0,-64.42857142857143,254.59888799847505,319.0274594270465,-319.0274594270465,164046.1974105217,164325.65743435654,164532.72441796082,164686.15149891,164799.83388689312,164884.06729117603,164946.48035728917,164992.72555959108,165026.9911207809,165052.38032063755,165071.19254629436,165085.13153752533
2019-10-01,CHINA,A1-19.5-KAB,0.0,-100.0,222.36262545315913,322.3626254531591,-322.3626254531591,135895.8384566087,135898.44617314168,135899.82814978636,135900.5605374605,135900.94867115823,135901.15436518152,135901.26337409124,135901.3211440848,135901.35175967542,135901.3679846104,135901.37658312212,135901.38113996037
2019-11-01,CHINA,A1-19.5-KAB,155.0,876.0357195139802,276.83538329156085,599.2003362224193,-599.2003362224193,134817.130859732,134818.66262422636,134819.47695478814,134819.90987660238,134820.14003043185,134820.2623869024,134820.3274351613,134820.3620167079,134820.38040126397,134820.39017502876,134820.39537104644,134820.39813340057
2019-12-01,CHINA,A1-19.5-KAB,64.0,-58.70967741935485,251.0242247753366,309.73390219469144,-309.73390219469144,133572.92116006528,133573.70190014568,133574.11673723516,133574.3371560597,133574.45427301823,133574.51650174125,133574.54956624372,133574.56713467953,133574.57646946193,133574.58142938913,133574.5840647883,133574.5854650768
2020-01-01,CHINA,A1-19.5-KAB,75.0,17.1875,234.32160157709828,217.13410157709828,-217.13410157709828,163074.8869068044,163133.85251888924,163176.84912364586,163208.20143146112,163231.06293903608,163247.73311629,163259.8886930282,163268.75230878865,163275.21548910838,163279.9283174816,163283.36482244922,163285.87065662295
2020-02-01,CHINA,A1-19.5-KAB,0.0,-100.0,212.03349480529172,312.03349480529175,-312.03349480529175,158072.25040358453,158108.92027259976,158135.5725457099,158154.9438628434,158169.02325959643,158179.25640025293,158186.69401775405,158192.09980234646,158196.02881685348,158198.8844902035,158200.96004127804,158202.46858645638
2020-03-01,CHINA,A1-19.5-KAB,341.0,876.0357195139802,253.53363384958473,622.5020856643955,-622.5020856643955,144614.44089087992,144614.54552883952,144614.60045761114,144614.6292919841,144614.6444283332,144614.65237402584,144614.65654504692,144614.65873458755,144614.65988396754,144614.6604873244,144614.66080405127,144614.66097031423
2020-04-01,CHINA,A1-19.5-KAB,160.0,-53.0791788856305,235.4975860416309,288.5767649272614,-288.5767649272614,141978.75807890395,141978.8043178541,141978.82854191022,141978.84123261564,141978.8478811308,141978.8513642117,141978.85318895787,141978.85414492147,141978.85464573983,141978.85490811284,141978.8550455671,141978.85511757777
2020-05-01,CHINA,A1-19.5-KAB,460.0,187.5,232.83105348376253,45.33105348376253,-45.33105348376253,165253.5820633751,165267.369203916,165277.3385673656,165284.54732884123,165289.75992263173,165293.52910463564,165296.25456791744,165298.2253271147,165299.65036624088,165300.6807998494,165301.42589758185,165301.96467138187
2020-06-01,CHINA,A1-19.5-KAB,102.0,-77.82608695652173,216.48067767111598,294.30676462763773,-294.30676462763773,159937.32626893694,159945.45273163257,159951.3112949917,159955.53487490813,159958.57975574615,159960.7748839315,159962.3574048926,159963.4982825001,159964.3207687403,159964.91371894884,159965.34119108474,159965.64936607872
2020-07-01,CHINA,A1-19.5-KAB,305.0,199.01960784313727,215.60762417971705,16.588016336579784,-16.588016336579784,146293.69286465918,146293.69837279216,146293.70123286144,146293.7027179374,146293.70348905536,146293.70388945434,146293.7040973594,146293.70420531303,146293.70426136738,146293.7042904733,146293.7043055864,146293.7043134338
2020-08-01,CHINA,A1-19.5-KAB,253.0,-17.04918032786885,204.52872872697486,221.5779090548437,-221.5779090548437,143362.62621644983,143362.62852917914,143362.62972822099,143362.63034986804,143362.63067216292,143362.63083925773,143362.63092588857,143362.63097080262,143362.63099408842,143362.63100616104,143362.6310124201,143362.63101566516
2020-09-01,CHINA,A1-19.5-KAB,183.0,-27.667984189723317,193.97433268530676,221.64231687503008,-221.64231687503008,135609.53024754138,135609.5308275448,135609.53112701367,135609.5312816362,135609.5313614713,135609.53140269197,135609.53142397513,135609.5314349641,135609.53144063795,135609.53144356748,135609.53144508007,135609.53144586104
2020-10-01,CHINA,A1-19.5-KAB,20.0,-89.07103825136612,181.66801220979923,270.73905046116533,-270.73905046116533,131393.14258209494,131393.14271630338,131393.14278545175,131393.14282107915,131393.14283943552,131393.14284889327,131393.1428537662,131393.1428562769,131393.1428575705,131393.14285823697,131393.14285858037,131393.1428587573
2020-11-01,CHINA,A1-19.5-KAB,145.0,625.0,200.14017836772427,424.8598216322757,-424.8598216322757,127586.79716474845,127586.79716003552,127586.7971576117,127586.79715636514,127586.79715572404,127586.79715539434,127586.79715522476,127586.79715513755,127586.7971550927,127586.79715506964,127586.79715505778,127586.79715505168
2020-12-01,CHINA,A1-19.5-KAB,41.0,-71.72413793103448,189.26560571577392,260.9897436468084,-260.9897436468084,125334.79795663584,125334.79792882717,125334.79791453986,125334.79790719942,125334.79790342812,125334.79790149053,125334.79790049505,125334.79789998359,125334.79789972083,125334.79789958583,125334.79789951647,125334.79789948082
