,h.1,h.2,h.3,ngtv_h.1,ngtv_h.2,ngtv_h.3
1999-01-08,0.21842091918307607,0.20076839694340878,0.19194213582357514,-0.21842091918307607,-0.20076839694340878,-0.19194213582357514
1999-01-11,1.6359998918326901,1.7474800774164638,1.8589602630002373,-1.6359998918326901,-1.7474800774164638,-1.8589602630002373
1999-01-12,0.8940680007156218,0.8942751969706182,0.8943791147006015,-0.8940680007156218,-0.8942751969706182,-0.8943791147006015
1999-01-13,1.2892327473023537,1.3000223305969671,1.3108119138915806,-1.2892327473023537,-1.3000223305969671,-1.3108119138915806
1999-01-14,1.8792662695589648,1.879283606528982,1.8792921703641219,-1.8792662695589648,-1.879283606528982,-1.8792921703641219
1999-01-15,1.2050368311109465,1.1630637105506036,1.1225525731417525,-1.2050368311109465,-1.1630637105506036,-1.1225525731417525
1999-01-19,1.285647668511233,1.2498801268476822,1.216855832186011,-1.285647668511233,-1.2498801268476822,-1.216855832186011
1999-01-20,3.118680475344012,3.1931423884455907,3.2676043015471694,-3.118680475344012,-3.1931423884455907,-3.2676043015471694
1999-01-21,2.5896771362114794,2.6292507023835388,2.6688242685555976,-2.5896771362114794,-2.6292507023835388,-2.6688242685555976
1999-01-22,2.0291811432058924,2.030699454295038,2.0319895139135515,-2.0291811432058924,-2.030699454295038,-2.0319895139135515
1999-01-25,2.0743713872152636,2.0743717052341255,2.0743718618663887,-2.0743713872152636,-2.0743717052341255,-2.0743718618663887
1999-01-26,1.9349444620636413,1.9349341873567716,1.9349278285587777,-1.9349444620636413,-1.9349341873567716,-1.9349278285587777
1999-01-27,1.6040350244960957,1.5874051893414447,1.5709477642173288,-1.6040350244960957,-1.5874051893414447,-1.5709477642173288
1999-01-28,1.8619106252683484,1.8619105795092346,1.8619105572626578,-1.8619106252683484,-1.8619105795092346,-1.8619105572626578
1999-01-29,1.4902759279679978,1.4728523303863021,1.4556324652013923,-1.4902759279679978,-1.4728523303863021,-1.4556324652013923
1999-02-01,1.8497497017827436,1.849749691035405,1.8497496857624662,-1.8497497017827436,-1.849749691035405,-1.8497496857624662
1999-02-02,1.7951661426766758,1.7951661338022225,1.795166129442043,-1.7951661426766758,-1.7951661338022225,-1.795166129442043
1999-02-03,1.3877736477242912,1.3710613558759448,1.3545503223440658,-1.3877736477242912,-1.3710613558759448,-1.3545503223440658
1999-02-04,1.3201280873564214,1.3025628924050578,1.28523141445038,-1.3201280873564214,-1.3025628924050578,-1.28523141445038
1999-02-05,1.1749914830537511,1.1553627657618015,1.1360619545603983,-1.1749914830537511,-1.1553627657618015,-1.1360619545603983
1999-02-08,1.5057404620857984,1.49439708448371,1.48313916145767,-1.5057404620857984,-1.49439708448371,-1.48313916145767
1999-02-09,1.3663910954278757,1.3519057322699006,1.3375739312886774,-1.3663910954278757,-1.3519057322699006,-1.3375739312886774
1999-02-10,1.19990922474267,1.1827909645921046,1.1659169188393812,-1.19990922474267,-1.1827909645921046,-1.1659169188393812
1999-02-11,1.603523478830367,1.5994050077682085,1.5954719149711827,-1.603523478830367,-1.5994050077682085,-1.5954719149711827
1999-02-12,1.4508305350453066,1.4396562065222023,1.4285679430533857,-1.4508305350453066,-1.4396562065222023,-1.4285679430533857
1999-02-16,1.8587627726009814,1.8587627726014047,1.8587627726016138,-1.8587627726009814,-1.8587627726014047,-1.8587627726016138
1999-02-17,1.9370647238094914,1.9370647238094914,1.9370647238094914,-1.9370647238094914,-1.9370647238094914,-1.9370647238094914
1999-02-18,1.8907123753179484,1.8907123753189201,1.8907123753193982,-1.8907123753179484,-1.8907123753189201,-1.8907123753193982
1999-02-19,1.8951577639721424,1.8951577639723385,1.8951577639724349,-1.8951577639721424,-1.8951577639723385,-1.8951577639724349
1999-02-22,1.871718586017036,1.8717185860169816,1.871718586016955,-1.871718586017036,-1.8717185860169816,-1.871718586016955
1999-02-23,1.791428326450737,1.7913566099568201,1.7912939498224942,-1.791428326450737,-1.7913566099568201,-1.7912939498224942
1999-02-24,1.9708472597863858,1.9708472597868165,1.9708472597870301,-1.9708472597863858,-1.9708472597868165,-1.9708472597870301
1999-02-25,1.9109567736500883,1.9109567736501842,1.9109567736502315,-1.9109567736500883,-1.9109567736501842,-1.9109567736502315
1999-02-26,1.916981697960852,1.9169816979609542,1.9169816979610044,-1.916981697960852,-1.9169816979609542,-1.9169816979610044
1999-03-01,1.875428539978858,1.8754285399789024,1.8754285399789241,-1.875428539978858,-1.8754285399789024,-1.8754285399789241
1999-03-02,1.8196294243120166,1.8196199744701194,1.8196119672258828,-1.8196294243120166,-1.8196199744701194,-1.8196119672258828
1999-03-03,1.6593137770865796,1.6547982714474652,1.6502950539436443,-1.6593137770865796,-1.6547982714474652,-1.6502950539436443
1999-03-04,1.5773529910555975,1.5712950940873822,1.5652604636770004,-1.5773529910555975,-1.5712950940873822,-1.5652604636770004
1999-03-05,1.4540096209307949,1.4460192520157087,1.4380727992651459,-1.4540096209307949,-1.4460192520157087,-1.4380727992651459
1999-03-08,1.519681535698983,1.5131427834583515,1.5066321656613686,-1.519681535698983,-1.5131427834583515,-1.5066321656613686
1999-03-09,1.790554325488892,1.7904255099778212,1.7903064176511343,-1.790554325488892,-1.7904255099778212,-1.7903064176511343
1999-03-10,1.6570914849974738,1.653350889005681,1.649618736799312,-1.6570914849974738,-1.653350889005681,-1.649618736799312
1999-03-11,1.546992083601302,1.5414497917774541,1.5359273559667643,-1.546992083601302,-1.5414497917774541,-1.5359273559667643
1999-03-12,1.447936207832668,1.4409911577234507,1.4340794197444933,-1.447936207832668,-1.4409911577234507,-1.4340794197444933
1999-03-15,1.3759466795195292,1.3681419267605648,1.3603814448281826,-1.3759466795195292,-1.3681419267605648,-1.3603814448281826
1999-03-16,1.2853442896642109,1.2765445753567708,1.2678051057456288,-1.2853442896642109,-1.2765445753567708,-1.2678051057456288
1999-03-17,1.2357282702073566,1.2265371897580473,1.21741447070466,-1.2357282702073566,-1.2265371897580473,-1.21741447070466
1999-03-18,1.1485751348504716,1.1386632300004158,1.1288368624516816,-1.1485751348504716,-1.1386632300004158,-1.1288368624516816
1999-03-19,1.106197464228742,1.0960929384833369,1.0860807123529428,-1.106197464228742,-1.0960929384833369,-1.0860807123529428
1999-03-22,1.1293108770992362,1.1196151301670805,1.1100026266488543,-1.1293108770992362,-1.1196151301670805,-1.1100026266488543
1999-03-23,1.1819588591987884,1.172957609160631,1.1640249085856453,-1.1819588591987884,-1.172957609160631,-1.1640249085856453
1999-03-24,1.1073304292950095,1.097812575112518,1.0883765300243964,-1.1073304292950095,-1.097812575112518,-1.0883765300243964
1999-03-25,1.4776835604840475,1.4730372028504202,1.4684280420932365,-1.4776835604840475,-1.4730372028504202,-1.4684280420932365
1999-03-26,1.3943389368741073,1.3880769870302134,1.3818431624268317,-1.3943389368741073,-1.3880769870302134,-1.3818431624268317
1999-03-29,1.4612569320721498,1.456499746255863,1.4517751511358659,-1.4612569320721498,-1.456499746255863,-1.4517751511358659
1999-03-30,1.392802952110468,1.3867729182677075,1.3807689910677128,-1.392802952110468,-1.3867729182677075,-1.3807689910677128
1999-03-31,1.558927492544183,1.557145299181739,1.5554054069900527,-1.558927492544183,-1.557145299181739,-1.5554054069900527
1999-04-01,1.5061135322289185,1.503204396693896,1.5003389976211525,-1.5061135322289185,-1.503204396693896,-1.5003389976211525
1999-04-05,1.4990582503712215,1.496118093359474,1.4932214365289906,-1.4990582503712215,-1.496118093359474,-1.4932214365289906
1999-04-06,1.407985778368323,1.4025257335715855,1.3970868624111796,-1.407985778368323,-1.4025257335715855,-1.3970868624111796
1999-04-07,1.5647266410848355,1.5633992652024675,1.5621077568468127,-1.5647266410848355,-1.5633992652024675,-1.5621077568468127
1999-04-08,1.4795620794984112,1.4763426844737533,1.4731615375625624,-1.4795620794984112,-1.4763426844737533,-1.4731615375625624
1999-04-09,1.3981722897391653,1.392876461014827,1.3876006913267616,-1.3981722897391653,-1.392876461014827,-1.3876006913267616
1999-04-12,1.3862313705848226,1.3808866283647496,1.375562494087336,-1.3862313705848226,-1.3808866283647496,-1.375562494087336
1999-04-13,1.3175848339124088,1.3116312155859722,1.305704499259179,-1.3175848339124088,-1.3116312155859722,-1.305704499259179
1999-04-14,1.2658302345907184,1.2594795264017635,1.2531606799855504,-1.2658302345907184,-1.2594795264017635,-1.2531606799855504
1999-04-15,1.233546742844915,1.2270156855991847,1.220519207352363,-1.233546742844915,-1.2270156855991847,-1.220519207352363
1999-04-16,1.3060068133844747,1.3002103604848243,1.2944396340654585,-1.3060068133844747,-1.3002103604848243,-1.2944396340654585
1999-04-19,1.2560846870959361,1.2499282877532745,1.2438020626099813,-1.2560846870959361,-1.2499282877532745,-1.2438020626099813
1999-04-20,1.202306251516742,1.1957947173830419,1.1893184489547488,-1.202306251516742,-1.1957947173830419,-1.1893184489547488
1999-04-21,1.3944085328989966,1.3908221958742648,1.3872727278806396,-1.3944085328989966,-1.3908221958742648,-1.3872727278806396
1999-04-22,1.3984591430115754,1.395142037408254,1.3918623182179264,-1.3984591430115754,-1.395142037408254,-1.3918623182179264
1999-04-23,1.5501028609905108,1.549527652671775,1.548973068747285,-1.5501028609905108,-1.549527652671775,-1.548973068747285
1999-04-26,1.5758069963070835,1.5754295226866768,1.5750673486421525,-1.5758069963070835,-1.5754295226866768,-1.5750673486421525
1999-04-27,1.5271690801307338,1.52639746449056,1.525649740304926,-1.5271690801307338,-1.52639746449056,-1.525649740304926
1999-04-28,1.4613850404781688,1.4596726180833872,1.4579939132308988,-1.4613850404781688,-1.4596726180833872,-1.4579939132308988
1999-04-29,1.3651923590575974,1.3610350726288152,1.3569029185786192,-1.3651923590575974,-1.3610350726288152,-1.3569029185786192
1999-04-30,1.337618292753957,1.3327728877105902,1.3279450347799486,-1.337618292753957,-1.3327728877105902,-1.3279450347799486
1999-05-03,1.3019433133019627,1.2968597958416597,1.2917961273483853,-1.3019433133019627,-1.2968597958416597,-1.2917961273483853
1999-05-04,1.2653959200246376,1.2600835223512041,1.2547934273038543,-1.2653959200246376,-1.2600835223512041,-1.2547934273038543
1999-05-05,1.2784968459813133,1.2733514219566566,1.2682267089470105,-1.2784968459813133,-1.2733514219566566,-1.2682267089470105
1999-05-06,1.376115110468823,1.3732073297534133,1.370332340750019,-1.376115110468823,-1.3732073297534133,-1.370332340750019
1999-05-07,1.35165342094362,1.348189957114925,1.3447560841960973,-1.35165342094362,-1.348189957114925,-1.3447560841960973
1999-05-10,1.3610838453151042,1.358009457232706,1.3549663740835167,-1.3610838453151042,-1.358009457232706,-1.3549663740835167
1999-05-11,1.3103219844568208,1.3058291814087155,1.3013562557326788,-1.3103219844568208,-1.3058291814087155,-1.3013562557326788
1999-05-12,1.2629023795658019,1.2579242874095633,1.2529658179020466,-1.2629023795658019,-1.2579242874095633,-1.2529658179020466
1999-05-13,1.2503473543306025,1.2453403951417146,1.2403534861554601,-1.2503473543306025,-1.2453403951417146,-1.2403534861554601
1999-05-14,1.2104283560907134,1.2052096716647593,1.2000134873290276,-1.2104283560907134,-1.2052096716647593,-1.2000134873290276
1999-05-17,1.1641420200672141,1.1586910291728483,1.1532655621268306,-1.1641420200672141,-1.1586910291728483,-1.1532655621268306
1999-05-18,1.3270737635574341,1.324039917914298,1.3210362235989628,-1.3270737635574341,-1.324039917914298,-1.3210362235989628
1999-05-19,1.2474079352462337,1.2425844156129864,1.2377795477900448,-1.2474079352462337,-1.2425844156129864,-1.2377795477900448
1999-05-20,1.2114559245456242,1.206448555769045,1.2014618842526974,-1.2114559245456242,-1.206448555769045,-1.2014618842526974
1999-05-21,1.1841787667074943,1.1790623094962278,1.173967958923512,-1.1841787667074943,-1.1790623094962278,-1.173967958923512
1999-05-24,1.148401128738403,1.1431287499053386,1.137880576950439,-1.148401128738403,-1.1431287499053386,-1.137880576950439
1999-05-25,1.122341750645197,1.116976589714478,1.1116370760804883,-1.122341750645197,-1.116976589714478,-1.1116370760804883
1999-05-26,1.1873104776609216,1.1823384807152764,1.1773873046427743,-1.1873104776609216,-1.1823384807152764,-1.1773873046427743
1999-05-27,1.2536533425052152,1.2497404456866767,1.2458523430814261,-1.2536533425052152,-1.2497404456866767,-1.2458523430814261
1999-05-28,1.3211423383258105,1.3189633857537864,1.3168139125263856,-1.3211423383258105,-1.3189633857537864,-1.3168139125263856
